"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
88,92,2,99,16,66,94,37,70,17.9,14.72,24,42,65,100,100,"8"
80,100,18,98,60,66,100,29,42,13.2,12.03,23,42,61,56,98,"8"
20.89,94,9,57,20,19,7,9.25,20,36,70,68,100,100,18,92,"8"
95,82,71,100,27,77,77,73,100,80,93,42,56,13,24.51,16.19,"9"
68,100,6,88,47,75,87,82,85,56,100,29,75,6,25.98,10.05,"9"
70,100,100,97,70,81,45,65,30,49,20,33,8.86,16,39.35,20.64,"1"
40,100,18.1,81,15,58,100,57,47,87,50,88,40,42,36,36.24,"4"
3,71,8.47,95,45,100,100,99,79,78,48,53,31,24,54,35.51,"7"
79,87,98,81,71,100,72,73,100,66,91,21,48,8.52,39.38,13,"9"
92,95,30,100,34,68,87,89,84,78,100,35,64,11.93,26.51,19,"9"
58,64,100,96,27,100,27.8033333333333,63,79,65,91,72,48,36,10,23.53,"9"
34,89,3,70,1,25,49,7.89,100,23,100,67,56,99,16.84,100,"0"
25.55,90,46,100,88,92,79,69,60,48,39,27,47,6,100,9.46,"2"
20,71,6.68,29,31,12.43,78,12,100,51,84,93,37,100,8,66,"0"
100,100,67,98,41,80,44,50,78,42,68,16,35,2,48.39,5.1,"5"
91,69,48,57,9,79,60,100,100,75,95,40,64,8,31.48,16.9,"9"
30,74,55,100,89,87,66,56,100,38,92,8,41,10.63,32.18,20,"3"
5,65,13.14,89,37,100,88,97,100,79,71,53,48,26,59,32.99,"7"
42,93,19,88,9.22,42,24,4.29,83,11,100,56,75,100,17,97,"0"
4,100,18.03,72,15,44,79,50,100,76,90,51,83,22,85,32.785,"4"
100,100,79,80,54,59,32,38,21,16,50,11.53,79,16,29.09,16,"6"
28.08,76,30,48,53,9,11,5.9,47,34,97,66,100,100,38,85,"8"
11.72,93,40,100,57,61,51,17,35,12.06,12,37,54,48,100,49,"7"
100,100,73,95,40,69,14,39,2,2,39,6.15,37,29,16.38,14,"6"
88,100,42,77,12,50,11.18,22,45,17.94,100,17,73,44,15,49,"6"
33,86,5.53,55,1,12,52,7.4,90,34,100,76,56,100,6,77,"0"
69,100,44,77,5,50,16.61,28,67,23,100,44,95,29,89,38,"4"
27,83,6.36,42,9,15.09,65,17,96,57,100,100,45,95,10,58,"0"
19,100,35,93,15.78,63,12,36,89,37,100,66,94,33,89,38.4,"4"
27,73,81,100,83,91,78,52,62,14,28.41,5.42,29,1,100,5,"1"
77,96,38,100,58,77,99,86,100,50,84,12,43,2.11,38.75,3.08,"9"
41,84,73,100,100,82,62,60,97,38,91,8,42,9.28,31.6,19,"3"
32,92,24,47,71,36,38,5.25,15.45,11.83,21,48,49,92,100,100,"5"
53,100,30,95,21.97,60,100,55,92,87,77,79,79,37,79,35.25,"4"
100,95,75,100,42,70,21,44,42,33,85,49,83,31,85,37.03,"4"
26.29,50,41,69,76,90,100,100,89,74,78,50,70,25,68,22.99,"1"
2,75,37,100,56,99,58,61,46,25,8.58,5.67,34,5,100,8,"1"
10,100,7.72,60,14,18,60,8.93,100,24,96,66,58,95,19,73,"0"
79,90,100,93,63,100,82,84,99,61,87,22,44,12.63,42.24,19,"9"
22.55,88,59,100,89,72,82,40,63,9,28,5.48,25,25,100,27,"7"
5,97,9,61,37,25,24.07,10.05,7,32,56,64,100,96,37,100,"8"
59,89,42,23,29,42,25,100,100,82,75,46,98,13.49,56.13,3,"3"
20,100,6,61,25,28,18,10.02,11.86,27,11,63,55,75,100,82,"5"
100,100,49,77,17,51,2,24,24,9.3,100,10,73,35,8.47,42,"6"
29,80,7.57,41,14,12.53,70,14,100,53,100,96,49,100,19,62,"0"
21,87,33,52,62,13,5,7.06,24.5,36,74,66,100,100,5,89,"8"
13,67,40,100,65,78,37,42,6.77,11,6,4,60,7.09,100,19,"2"
5,70,56,44,60,3,15.82,4.87,30,39,84,72,100,100,32,74,"8"
22.22,94,68,100,89,68,72,33,43,12.3,3,21,25,50,100,58,"7"
100,93,48,100,27,69,30,33,16,16.62,12.01,26,41,51,100,58,"8"
28.53,55,46,58,73,82,100,100,92,75,89,50,84,25,89,25.65,"1"
96,66,62,100,32,69,74,62,89,56,100,10,50,5.51,24.71,10,"9"
32,96,70,100,12,95,32,66,89,62,100,22,51,11.75,31.47,16,"5"
79,100,41,82,15.88,61,23,45,77,37,86,54,86,25,100,36.02,"4"
22,72,55,100,54,89,53,50,55,12,24.53,1,49,2.18,100,4,"1"
23,70,51,100,74,82,51,46,20,15,10.1,4,50,3.19,100,2,"2"
88,100,100,95,75,79,38,64,25,47,12,32,8.61,16,12,19,"1"
76,100,31,87,1,52,6.32,14,61,23.62,100,27,50,42,1,21,"6"
29,97,8.48,57,22,10,68,5.92,100,40,83,90,37,100,12,57,"0"
53,67,80,44,67,7,19.04,4.47,35,36,83,68,100,100,25,80,"8"
11,45,17,6,55,20.45,88,25,100,61,79,94,38,100,16.45,84,"0"
88,90,18,100,17,66,79,33,49,11.64,11.96,28,41,67,100,98,"8"
75,100,42,78,13,51,12.09,22,40,15.31,100,16,88,43,22,35,"6"
27,82,65,100,100,89,69,62,33,39,29.83,15,37,1,88,4.65,"2"
70,84,11,76,25.32,91,56,100,99,83,100,55,88,28,75,28.77,"9"
88,100,29,100,30,74,85,83,100,67,97,27,57,2.41,14.92,5,"9"
51,54,100,87,36,100,19,62,44,22,2,21.33,44.86,37,78,57,"8"
15,84,4.36,57,5,17,52,8.62,95,28,100,67,70,100,20,87,"0"
