"Country","PT","PGR","PUP","P60P","P15P","TFR","IMR","I3R","HER","HGR","HGGR","NDP","NNMP","NPP","NMP","HPP","HPHP","NMPP","HGDP","DR1","DR2","DR3","DR4","TBN","NMN","YCP","YIP","YNCP"
"Afghanistan",26088,4,23,4,47,7.2,70,83,20.1,27.5,4.4,900,14930,5970,5,97.2,72.5,2.5,5.4,153,706,134,1269,161,60,76,6,18
"Albania",3172,0.6,46,13,26,2.1,97,98,3.7,35.5,11.3,1035,14637,3626,47,94.7,64.5,4,6.2,154,537,64,814,19,9,17,20,63
"Algeria",33351,1.5,64,7,29,2.4,92,95,0.1,77.3,9.5,9553,69749,35368,22,94.6,22.7,2,3.6,103,314,85,598,56,22,50,20,30
"Andorra",74,1,93,22,14,1.3,94,96,0,70.6,22.7,46,259,244,39,73.2,29.4,1.1,6.3,126,125,31,369,19,2,6,14,80
"Angola",16557,2.8,54,4,46,6.5,88,83,7,86.6,5,222,18977,1165,14,100,13.4,16.9,2.7,179,486,231,982,285,54,84,8,8
"Antigua and Barbuda",84,1.3,37,11,28,2.2,99,99,0.2,67.3,11.3,13,233,12,33,86.9,32.7,19.3,4.9,144,343,35,717,6,8,21,10,69
"Argentina",39134,1,90,14,26,2.3,99,96,0.1,45.5,14.2,28900,29000,108800,8,43.8,54.5,0.3,10.1,142,212,52,521,39,10,18,17,66
"Armenia",3010,-0.3,64,14,20,1.3,92,88,14.5,41.2,9.7,1255,14806,11133,49,87.6,58.8,1.3,4.7,146,498,39,800,72,18,13,9,78
"Australia",20530,1.1,88,18,19,1.8,94,92,0,67.2,17.2,21296,187837,47875,97,55.7,32.8,3.9,8.7,127,140,35,362,6,3,5,17,77
"Austria",8327,0.4,66,22,16,1.4,79,85,0,77,15.5,4467,53782,30068,66,72.2,23,1.8,9.9,127,204,38,406,13,3,3,14,83
"Azerbaijan",8406,0.6,52,9,24,1.7,97,95,0.8,30.9,3.6,2431,71265,30766,84,83.5,69.1,2.3,3.4,113,613,29,892,77,35,36,6,58
"Bahamas",327,1.2,91,10,27,2,96,95,0,51.1,13.9,21,1323,312,45,41.1,48.9,4.3,6.9,112,222,73,490,38,5,35,20,45
"Bahrain",739,1.9,97,5,26,2.4,99,97,0,66.4,9.5,300,4410,1980,61,69.2,33.6,2.2,3.8,127,312,37,746,41,4,10,22,68
"Bangladesh",155991,1.8,25,6,35,2.9,88,90,14.6,36.8,7.4,2344,39471,42881,3,88.3,63.2,0.9,3.1,111,428,101,762,225,36,60,12,28
"Barbados",293,0.3,53,13,18,1.5,75,93,2.9,62.5,11.9,63,988,322,37,78.6,37.5,3.1,6.7,135,245,30,535,11,8,26,10,65
"Belarus",9742,-0.5,73,18,15,1.2,99,95,0.2,74.9,10.2,4647,121357,46359,125,68.8,25.1,2.6,6.4,143,592,154,839,61,3,7,25,68
"Belgium",10430,0.3,97,22,17,1.6,92,99,0,71.1,13.9,8305,146846,44124,142,78.7,28.9,3.4,9.5,148,162,45,427,13,2,5,15,80
"Belize",282,2.2,48,6,37,3,96,96,1.3,59.5,10.9,32,303,251,13,100,40.5,1.2,5.3,147,317,79,651,49,17,40,19,41
"Benin",8760,3.1,40,4,44,5.6,61,67,13.4,53.3,13.1,12,5789,311,8,99.9,46.7,21,5.3,154,432,116,852,90,36,82,8,10
"Bhutan",649,1.8,11,7,32,2.3,95,95,48.2,68.6,7.3,65,730,52,3,100,31.4,16,4.5,112,441,112,771,96,30,65,10,25
"Bolivia",9354,1.9,65,7,38,3.6,81,81,3.6,62.8,11.6,5997,18091,10329,21,81,37.2,1.7,6.6,256,260,80,824,198,24,55,11,34
"Bosnia and Herzegovina",3926,0.3,46,19,17,1.2,96,95,1,57.2,14,629,18332,5540,47,100,42.8,3.3,8.3,121,492,43,699,51,10,7,13,81
"Botswana",1858,1.2,58,5,35,3,90,97,5.8,76.7,17.8,38,4753,715,27,27.5,23.3,6.6,7.2,124,338,72,653,551,46,93,3,4
"Brazil",189323,1.3,85,9,28,2.3,99,98,0.1,47.9,7.2,190448,659111,198153,38,64,52.1,3.3,7.5,142,341,81,712,50,13,30,20,50
"Bulgaria",7693,-0.7,70,23,14,1.3,96,95,0.2,59.8,11.9,6512,35028,28111,46,97.7,40.2,18.3,6.9,125,554,42,756,40,7,5,9,87
"Burkina Faso",14359,3,19,4,46,6.1,94,99,32.9,56.9,15.8,58,6557,708,5,91.5,43.1,9.8,6.4,162,459,149,901,248,32,87,7,7
"Burundi",8173,3.9,10,4,45,6.8,75,74,13.7,24.6,2.3,14,1348,200,2,100,75.4,6.3,3,146,439,301,843,367,41,81,12,7
"Cambodia",14197,1.7,20,5,37,3.3,79,82,22.3,26.1,10.7,209,11125,2047,9,84.4,73.9,5.3,6,148,392,72,853,500,48,72,6,22
"Cameroon",18175,2.1,56,5,41,4.5,74,82,7.1,28.1,8.6,147,26042,3124,16,94.9,71.9,8.4,5.2,150,436,118,848,192,30,81,8,11
"Canada",32577,0.9,80,18,17,1.5,94,94,0,70.4,17.9,38310,327224,62307,101,49,29.6,5.3,10,138,141,34,388,5,3,6,15,80
"Cape Verde",519,2.3,58,5,39,3.5,74,81,19,81.5,13.2,11,410,231,9,99.7,18.5,1.8,5.6,127,356,39,692,168,9,51,12,37
"Central African Republic",4265,1.7,38,6,42,4.7,62,54,22.1,35.6,10.9,13,1613,331,4,95.3,64.4,5.1,3.9,154,445,146,863,345,52,84,7,9
"Chad",10468,3.1,26,5,46,6.3,23,20,23.5,35.6,9.5,15,2499,345,3,96.2,64.4,7,3.6,156,443,131,869,299,42,85,7,8
"Chile",16465,1,88,12,24,1.9,91,94,0.1,52.7,14.1,6750,10000,17250,6,54.8,47.3,0.6,5.3,137,165,50,453,15,5,17,19,64
"China",1328474,0.6,42,11,21,1.7,94,93,0.1,42,9.9,136520,1301240,1862630,10,92.9,58,0.7,4.5,148,291,79,665,99,18,23,21,56
"Colombia",45558,1.4,73,8,30,2.3,95,93,0,85.4,17,33951,23940,58761,6,43.9,14.6,0.4,7.3,117,240,141,511,45,13,25,40,35
"Comoros",818,2.5,38,4,42,4.5,65,75,31.7,55.5,8,29,588,115,7,100,44.5,4.9,3.2,128,381,83,736,44,25,70,12,18
"Congo, Dem. Rep.",60644,3.2,33,4,47,6.7,79,87,28.8,37.1,7.2,159,28789,5827,5,100,62.9,4.8,4.3,161,465,273,909,392,47,82,11,7
"Congo, Rep.",3689,2.2,61,5,42,4.6,67,80,3.5,40.8,4,12,3672,756,10,100,59.2,4.8,2.1,134,393,147,762,403,30,79,11,11
"Cook Islands",14,-2.5,64,8,34,3,98,99,2.2,91.4,12.4,10,80,20,47,100,8.6,4,4.5,69,326,38,616,16,10,29,13,57
"Costa Rica",4399,1.6,62,8,28,2.1,90,89,0.1,76.1,21.5,1905,3653,5204,9,80.4,23.9,0.7,7,125,185,55,457,14,8,22,21,57
"Cote d'Ivoire",18914,1.8,45,5,41,4.6,67,76,8.3,23,4.1,339,10180,2081,6,87.8,77,5,3.8,160,436,179,873,420,64,78,10,11
"Croatia",4556,0.1,57,22,15,1.3,96,96,0.1,80.1,13.9,3230,24872,11250,55,94.1,19.9,2.2,7.5,167,356,48,613,40,5,5,11,84
"Cuba",11267,0.1,75,16,19,1.5,99,93,0.2,90.7,10.8,9841,83880,66567,74,93.6,9.3,1.3,7.1,129,215,54,435,9,4,10,17,73
"Cyprus",846,1.1,69,17,19,1.6,87,97,0,44.8,6.4,715,3361,1950,40,84.3,55.2,0.1,6.3,94,354,33,530,5,2,12,14,74
"Czech Republic",10189,0,73,20,14,1.2,97,99,0,87.9,13.6,6933,91120,36595,89,95.5,12.1,2.5,6.8,177,315,50,568,10,2,3,13,83
"Denmark",5430,0.2,86,22,19,1.8,89,75,0,84,15.6,4530,54073,19287,101,90.1,16,2.8,9.5,167,182,40,503,8,3,4,10,86
"Djibouti",819,1.8,87,5,38,4.1,74,88,30.6,75.4,13.4,60,296,140,4,98.4,24.6,2.3,6.7,116,533,92,926,809,45,76,8,17
"Dominica",68,-0.3,71,11,28,2.1,96,96,0.7,64.7,9.2,4,317,38,42,81.7,35.3,8.3,6.7,144,257,45,590,16,10,19,13,68
"Dominican Republic",9615,1.5,68,8,33,2.9,96,79,1.7,31.2,9.5,7000,15352,15670,18,79.5,68.8,1,6,131,381,59,687,89,18,56,12,33
"Ecuador",13202,1.1,63,9,32,2.6,99,99,0.7,43.6,7.3,2062,20586,18335,17,85.6,56.4,1.1,5.4,129,244,89,576,128,13,37,21,42
"Egypt",74166,1.8,43,7,33,3,97,98,0.8,40.7,7.3,25170,249787,179900,34,94.9,59.3,1.4,6.3,84,560,35,959,24,17,32,8,61
"El Salvador",6762,1.4,60,8,34,2.7,98,96,3.1,58.7,15.6,3465,5103,7938,8,90.3,41.3,0.6,7,102,223,101,557,50,12,41,21,38
"Equatorial Guinea",496,2.4,39,6,42,5.4,51,33,5.3,78.3,7,15,271,153,5,73.6,21.7,1.8,1.5,155,438,144,864,256,47,79,9,12
"Eritrea",4692,3.6,20,4,43,5.2,95,97,26.5,37.3,4.2,16,2505,215,6,72.5,62.7,11.6,4.5,133,398,92,762,94,21,81,8,11
"Estonia",1340,-0.3,69,22,15,1.5,96,95,0.6,74.2,11.3,1175,9247,4414,70,92.9,25.8,2.1,5,150,435,144,674,39,4,6,27,67
"Ethiopia",81021,2.5,16,5,44,5.4,65,73,42.9,60.4,10.6,93,15544,1936,2,80.7,39.6,7.3,4.9,147,435,104,859,378,41,82,6,12
"Fiji",833,0.6,51,7,33,2.8,81,83,1.9,70.9,9.1,60,1660,380,20,79.1,29.1,4.4,4,86,470,40,825,22,10,27,10,63
"Finland",5261,0.3,61,22,17,1.8,98,99,0,78.5,12.1,4490,46930,17357,89,79.9,21.5,2.7,7.6,115,201,60,422,5,2,5,20,76
"France",61330,0.6,77,21,18,1.9,87,98,0,79.7,16.7,41374,486006,207277,80,33.2,20.3,2.3,11.1,142,118,48,368,14,2,6,16,78
